Items,PurQTY,PurVALUE,SalesQTY,SalesVALUE,ClosQTY,CloVALUE,M.EXP,OpenQTY,OpenVALUE,RecQTY,RecVALUE,SalesDate
KETROX-DT TAB(ALU-A) 10S,274,2624.92,130,1915.13,144,1379.52,24-May,37,354.46,237,2270.46,2023-03-12
KEVENT SHAMPOO 100GM,310,11253,260,25635.95,50,1815,24-Sep,185,6715.5,125,4537.5,2023-08-14
KEVENT SHAMPOO 50ML,1,27.5,1,131.25,0,0,0,1,27.5,0,0,2022-07-30
KEVENT SOAP ZEE 75GM,1418,40554.8,1358,64939.8,60,1716,25-Apr,264,7550.4,1154,33004.4,2022-11-03
KEYBOARD DEKSTOP DELL WIRED 1S,1,500,1,650,0,0,0,0,0,1,500,2022-04-22
KEYBOARD WITH MOUSE 1S,2,798,0,0,2,798,0,2,798,0,0,2022-08-19
KEYDROX GEL SYP 200ML,775,17050,702,25212.49,73,1606,23-May,131,2882,644,14168,2022-01-07
KIDSPAS DROPS 15 ML,114,1377.12,60,377,54,652.32,24-Apr,34,410.72,80,966.4,2023-08-28
KITS FOR ESTIMATION CREATINE 1ML,1000,2490,1000,2960,0,0,0,0,0,1000,2490,2023-05-20
KIWICUFF SYP 100ML,835,14612.5,735,6990.3,100,1750,24-Jun,0,0,835,14612.5,2023-07-18
KIWICUFF SYP 60ML 60ML,901,11938.25,872,24684.35,29,384.25,23-Nov,181,2398.25,720,9540,2022-06-14
KLICK CLAMP 1S,970,4859.7,970,11870,0,0,0,0,0,970,4859.7,2022-01-18
KLINCIN CREAM 30GM,732,19324.8,637,52683,95,2508,24-Jul,82,2164.8,650,17160,2022-04-01
KLINCIN-A GEL 15GM,530,15158,397,41917.5,133,3803.8,23-Nov,169,4833.4,361,10324.6,2023-05-07
KLOREX-D E/D 1S,120,1056,95,1425,25,220,24-Jul,0,0,120,1056,2023-07-08
KLOTIN AMPS 5ML 5ML,350,9450,344,13368.79,6,162,24-Sep,0,0,350,9450,2023-11-13
KLOZA-100MG TAB 10S,135,7215.75,125,5793.53,10,534.5,23-Nov,53,2832.85,82,4382.9,2022-10-31
KLOZA-25MG TAB 10S,54,853.74,3,158.13,51,806.31,23-Nov,31,490.11,23,363.63,2022-04-19
KLOZA-50MG TAB 10S,168,5601.12,76,2674.9,92,3067.28,23-Nov,8,266.72,160,5334.4,2022-04-15
KNEE HAMMER 1S,1,85,1,160,0,0,0,0,0,1,85,2022-06-06
KODAN PVP 5 500ML,140,7700,140,7700,0,0,0,0,0,140,7700,2022-06-03
KOJIMED ULTRA CREAM 15GM,1,202.71,1,254.3,0,0,0,0,0,1,202.71,2022-12-22
KOJIMED ULTRA CREAM 20GM,2,583.06,2,728.8,0,0,0,0,0,2,583.06,2023-07-31
KOJISOFT CREAM 20GM,1093,43282.8,963,117517.31,130,5148,24-Jun,93,3682.8,1000,39600,2022-08-24
KOJISOFT SOAP 75GM,739,20322.5,644,51269.77,95,2612.5,23-Jun,108,2970,631,17352.5,2023-12-09
KOLEX ORAL DROPS 10ML,260,2860,223,6943.88,37,407,23-Aug,110,1210,150,1650,2022-01-31
KOLEX PLUS SUP 60ML,2028,29000.4,1801,45722.5,227,3246.1,23-Sep,128,1830.4,1900,27170,2023-01-14
KOLEX-DMR CAP 10S,1630,17930,1521,22760.47,109,1199,24-Nov,110,1210,1520,16720,2023-09-21
KOLEX-DMR SUP 100ML,2034,33561,1724,60236.45,310,5115,23-Sep,326,5379,1708,28182,2022-03-23
KOLEX-DS SUP 60ML,540,8910,499,10857.45,41,676.5,23-Nov,240,3960,300,4950,2023-07-16
KOLEX-PLUS TAB 10S,487,5892.7,359,12277.24,128,1548.8,25-Jan,137,1657.7,350,4235,2022-05-08
KOPLYTE-ORS(ORANGE) 4.2GM,3642,5645.1,3642,9678.8,0,0,0,0,0,3642,5645.1,2022-10-08
KORPHAD CREAM 50GM,106,3847.8,91,6109.44,15,544.5,23-Nov,56,2032.8,50,1815,2023-04-11
KORPHAD SOAP 100GM,189,5197.5,163,15004.88,26,715,24-Oct,79,2172.5,110,3025,2023-12-18
KOZTANIDE CREAM-0.05% 10GM,105,2467.5,105,2258.21,0,0,0,0,0,105,2467.5,2023-08-23
KRIMSON 35MG TAB 21S,23,6456.33,23,6316.06,0,0,0,0,0,23,6456.33,2022-03-24
KROMAWASH FACE WASH 70GM,1,240,1,200,0,0,0,0,0,1,240,2022-10-10
KRUSHER CAP 10S,1130,14916,981,26116.5,149,1966.8,25-Nov,220,2904,910,12012,2023-02-05
KRUSHER SYP 100ML,271,4769.6,145,7574.4,126,2217.6,24-May,171,3009.6,100,1760,2022-11-19
KRUSHER SYP 200ML 200ML,205,5637.5,163,9735.7,42,1155,25-Dec,107,2942.5,98,2695,2023-11-27
KTN CREAM 30GM,300,5310,300,11370,0,0,0,0,0,300,5310,2022-01-16
KUFDOZ BR SYP (ORANGE) 60ML,185,2378.91,129,2057.45,56,744.24,23-Sep,34,451.86,151,1927.05,2022-12-01
KUFDOZ COLD& FLU TAB 10S,656,5557.02,431,4707.5,225,2063.25,24-Nov,156,1430.52,500,4126.5,2023-01-21
KUFDOZ SYP NEW(NAKED) 100ML,269,5267.02,232,8092.14,37,724.46,23-Nov,69,1351.02,200,3916,2023-02-17
KUFDOZ-AM 60ML,300,5250,215,7603.5,85,1487.5,24-Jun,0,0,300,5250,2023-06-16
KUFDOZ-AM SYP 100ML,250,4635,219,5796.75,31,574.74,24-Jun,0,0,250,4635,2023-05-09
KUFDOZ-BR (GREEN)-50ML 50ML,250,3100.8,183,4425.5,67,865.64,24-Oct,0,0,250,3100.8,2022-03-31
KUFDOZ-BR(GREEN) 100ML,1508,26593.66,1340,39176.95,168,3072.72,24-Oct,273,4993.17,1235,21600.49,2022-10-01
KUFDOZ-BR(ORANGE) 100ML,620,11010.58,595,15853.29,25,457.25,23-Dec,65,1188.85,555,9821.73,2023-05-26
KUFDOZ-DX PLUS SUP 100ML 100ML,745,19031.25,644,38372.5,101,2651.25,23-Dec,445,11681.25,300,7350,2022-08-12
KUFDOZ-DX SUP 100ML,1033,22622.04,1027,33292.99,6,137.52,24-Sep,53,1214.76,980,21407.28,2023-08-06
KUFDOZ-DX SYP 50ML 50ML,150,2187,132,4928.75,18,262.44,24-Aug,25,364.5,125,1822.5,2022-09-05
KUFDOZ-LS JUNIOR DROPS 15ML,81,1147.77,71,1820.95,10,141.7,23-Nov,31,439.27,50,708.5,2022-07-28
KUFDOZ-LS JUNIOR SYP 60ML,1040,18636.8,1022,35030.7,18,322.56,24-Jan,80,1433.6,960,17203.2,2022-06-17
KUFDOZ-LS SYP (NAKED) 60ML,600,10752,523,19717.5,77,1379.84,23-Nov,0,0,600,10752,2022-08-14
KUFDOZ-LS SYP 100ML,846,22207.5,801,29939.75,45,1181.25,24-Oct,96,2520,750,19687.5,2023-01-29
KUFDOZ-Q TAB 10S,2284,23799.28,2282,47081,2,20.84,24-Nov,515,5366.3,1769,18432.98,2023-07-06
KUFF-Q (NF) TAB 10S,180,2250,180,4295.45,0,0,0,0,0,180,2250,2023-11-03
KUFF-Q SYP 100ML,200,3100,132,5685.5,68,1054,23-Aug,0,0,200,3100,2023-11-24
KUFFDRYL SYP 100ML,327,3547.95,327,6222.3,0,0,0,72,781.2,255,2766.75,2022-10-07
L-CARD 50 10S,68,673.2,18,742.5,50,495,23-Nov,68,673.2,0,0,2022-07-01
L-GEST-E TAB 21S,638,12632.4,570,16921.5,68,1346.4,25-Mar,308,6098.4,330,6534,2022-03-25
L-PRO PLUS POWDER 200GM,307,12494.9,257,31359.99,50,2035,24-Apr,57,2319.9,250,10175,2023-03-20
LABETALOL-100 TAB 10S,1509,34857.9,1084,51343.4,425,9817.5,24-Apr,9,207.9,1500,34650,2022-07-28
LABLOL INJ 20MG 4ML,1702,97652.25,1317,133985.4,385,22089.38,24-Oct,6,344.25,1696,97308,2022-02-02
LABLOL-100MG TAB 10S,489,32567.4,373,31936.21,116,7725.6,24-Aug,0,0,489,32567.4,2022-05-16
LABSCAB-P LOTION 50ML,200,3200,160,4080,40,640,24-Feb,0,0,200,3200,2022-10-07
LACARNIT INJ 5ML,2,230.1,2,287.62,0,0,0,0,0,2,230.1,2023-07-22
LACORT EYE OINTMENT 5GM,293,16952.98,125,7061.06,168,9720.48,23-May,293,16952.98,0,0,2022-10-16
LACOSAMIDE-50MG TAB 10S,124,2418,120,2340,4,78,24-Oct,0,0,124,2418,2023-02-25
LACOSET 100MG TAB 10S,48,5520,48,6412.5,0,0,0,9,1035,39,4485,2023-07-31
LACOSET 150MG TAB 10S,30,4242.9,30,4731.43,0,0,0,0,0,30,4242.9,2023-05-25
LACOSET-50MG TAB 10S,51,3060,51,3825,0,0,0,6,360,45,2700,2022-04-05
LACRI GEL OINT 5GM,394,27859.74,298,21651.46,96,6788.16,22-Jul,0,0,394,27859.74,2022-09-17
LACRIGUARD CAP 10S,75,8437.5,13,1500,62,6975,23-Jun,75,8437.5,0,0,2023-11-24
LACRYL SOOTHE EYE DROPS 10ML,29,2910.44,21,1964.68,8,802.88,23-Nov,16,1605.76,13,1304.68,2023-09-09
LACRYL ULTRA EYE DROPS 10ML,0,0,0,0,0,0,0,13,3797.82,-13,-3797.82,2022-07-08
LACRYL-PF E/GEL 5GM,205,19687.07,182,16980.24,23,2275.39,23-Nov,19,1879.67,186,17807.4,2023-04-14
LACSOFT CREAM 50GM,1,140.64,1,175.89,0,0,0,0,0,1,140.64,2023-10-01
LACTAB DS TAB 15S,1250,5600,954,9881.51,296,1326.08,24-Jun,0,0,1250,5600,2022-10-29
LACTARE CAPS 30S,50,7746.5,11,1893.54,39,6042.27,25-Mar,0,0,50,7746.5,2023-03-01
LACTARE GRANULES CHOCOLATE PO 250GM,60,15100.8,0,0,60,15100.8,24-Nov,0,0,60,15100.8,2022-04-13
LACTARE GRANULES POWDER ELAIC 250GM,120,30201.6,63,14807,57,14345.76,24-Jul,0,0,120,30201.6,2023-02-21
LACTI FIBER POWDER 180GM,1,296.43,1,370.54,0,0,0,0,0,1,296.43,2023-01-04
LACTIGAIN CAPSULES 10S,33,520.08,0,0,33,520.08,25-Nov,0,0,33,520.08,2022-09-30
LACTIGAIN POWDER 200GM,490,32340,415,43743.59,75,4950,24-Aug,41,2706,449,29634,2023-03-24
LACTO B NATURA 200GM,45,6736.95,27,4657.52,18,2694.78,25-Jun,0,0,45,6736.95,2022-12-21
LACTODEX-HMF 1GM SACHETS 1S,640,13913.6,640,14440.68,0,0,0,0,0,640,13913.6,2022-08-05
LACTOGUT CAPS 10S,165,19321.5,165,20722.88,0,0,0,0,0,165,19321.5,2023-10-01
LACTOGUT KIDZ 1S,121,1864.5,121,1999.58,0,0,0,0,0,121,1864.5,2023-12-07
LACTOMED SOLUTION 100 ML,14,756,14,1236.05,0,0,0,14,756,0,0,2022-07-23
LACTOVIT DRY SYP 60ML,88,4474.4,88,4798.98,0,0,0,0,0,88,4474.4,2022-04-20
LAMINO HEPA POWDER SACHETS 1S,19,669.75,19,684,0,0,0,0,0,19,669.75,2023-11-08
LAMINO HEPA POWDER SACHETS 30 7S,17,4195.26,17,4250,0,0,0,0,0,17,4195.26,2022-04-04
LAMITOR 100DT TAB 15S,4,1374.28,4,1717.86,0,0,0,0,0,4,1374.28,2022-10-26
LAMITOR 25DT TAB 15S,8,822.32,8,1027.86,0,0,0,0,0,8,822.32,2022-01-29
LAMITOR OD 100MG TAB 10S,3,660.01,3,825,0,0,0,0,0,3,660.01,2023-07-29
LAMITOR OD 200MG TAB 10S,27,10800,27,12812.81,0,0,0,0,0,27,10800,2023-08-12
LAMITOR-50DT TAB 15S,20,3469.2,20,4336.61,0,0,0,0,0,20,3469.2,2022-05-05
LAMVER-400MG TAB 10S,150,4470,110,3740,40,1192,24-Jun,0,0,150,4470,2022-12-21
LANKID-MD TAB 10S,2698,35613.6,2396,60445.91,302,3986.4,24-Sep,737,9728.4,1961,25885.2,2022-04-02
LANOXIN-0.25MG TAB 10S,240,2284.8,240,2927.27,0,0,0,0,0,240,2284.8,2022-10-01
LANSOROM-30MG TAB 10S,46,480.7,16,367.75,30,313.5,24-Feb,0,0,46,480.7,2022-05-18
LANTUS SOLOSTAR 3ML,20,17585.8,20,18437,0,0,0,0,0,20,17585.8,2023-03-02
LANUM C500MG TAB 10S,12,150,12,150,0,0,0,0,0,12,150,2023-08-08
LANZIP-30 TAB 10S,724,11149.6,681,28583.25,43,662.2,24-Apr,114,1755.6,610,9394,2022-05-02
LAPTOP BAG HP 1S,1,847.46,0,0,1,847.46,0,0,0,1,847.46,2022-09-23
LARETOL-0.25MG CAPS 10S,23,2070,23,2521.75,0,0,0,0,0,23,2070,2023-10-11
LARINJECT INJ 10ML,8,10937.12,7,23470.96,1,1367.14,24-Apr,0,0,8,10937.12,2023-12-29
LARY DROPS 15ML,432,7517.4,340,11828,92,1720.4,25-Feb,111,2075.7,321,5441.7,2023-05-23
LARY SYP 60ML,642,12005.4,160,2411.14,482,9013.4,24-Feb,82,1533.4,560,10472,2023-08-31
LARY SYP RHO 60ML,72,1029.6,44,1890,28,400.4,23-Jun,0,0,72,1029.6,2022-11-28
LARY TAB RHO 10S,2080,17388.8,1883,29839.75,197,1646.92,25-Nov,1155,9655.8,925,7733,2023-12-07
LARY-CZ SYP 60ML,600,6600,201,2647.5,399,4389,23-Nov,0,0,600,6600,2023-01-22
LARYBRO DROPS RHO 15ML,7,138.6,7,253.5,0,0,0,1,19.8,6,118.8,2023-04-27
LARYBRO SYP (RHO) 100ML,694,14122.9,568,29912.8,126,2564.1,24-Sep,172,3500.2,522,10622.7,2022-05-20
LARYBRO-LS DROPS 15ML,555,10989,463,17617.5,92,1821.6,23-Nov,59,1168.2,496,9820.8,2022-03-15
LARYBRO-LS SYP 100ML,1057,30230.2,867,56157,190,5434,24-Dec,97,2774.2,960,27456,2022-05-31
LARYCOF SYP 100ML,582,10243.2,481,23742.78,101,1777.6,24-Mar,132,2323.2,450,7920,2022-05-10
LARYCOF-D SYP 100ML,480,10560,373,14370.27,107,2354,24-Nov,167,3674,313,6886,2022-03-09
LASILACTONE-50MG TAB 10S,173,7114.9,173,7817.28,0,0,0,0,0,173,7114.9,2022-11-07
LASIX INJ 4ML,10,83.18,10,90.6,0,0,0,0,0,10,83.18,2022-04-04
LASIX TAB 15S,24,251.04,24,269.52,0,0,0,12,125.52,12,125.52,2023-07-29
LATEX EXAM GLOVES MEDIUM 100S,15,2025,15,3662.5,0,0,0,0,0,15,2025,2023-04-10
LATEX EXAM GLOVES SMALL 100S,5,725,5,1600,0,0,0,0,0,5,725,2022-02-08
LATEX EXAMI GLOVES-L POWDERED 100S,5,665,5,1750,0,0,0,0,0,5,665,2022-03-06
LATEX EXAMI GLOVES-M POWDERED 100S,5,665,5,1750,0,0,0,0,0,5,665,2022-07-01
LATEX EXAMI GLOVES-S POWDERED 100S,5,665,5,1750,0,0,0,0,0,5,665,2022-01-23
LATOPROST DROPS 2.5ML,5,2236.2,5,2741.91,0,0,0,0,0,5,2236.2,2022-09-22
LAXAFIN PLUS SYP 200ML,10,369.6,10,458.18,0,0,0,0,0,10,369.6,2022-10-13
LAXIMO-OF TAB 10S,110,6776,20,1858.4,90,5544,24-Jan,0,0,110,6776,2023-09-06
LAZO SCI TAB 10S,26,915.2,26,0,0,0,0,26,915.2,0,0,2023-03-09
LE-MIRACET TAB 10S,30,488.1,0,0,30,488.1,23-Aug,0,0,30,488.1,2023-03-12
LECLAV-LB 10S,608,52166.4,549,102450.55,59,5062.2,24-Mar,114,9781.2,494,42385.2,2023-02-22
LEE-PAR CAPS 10S,500,2125,265,1409.9,235,998.75,24-Apr,0,0,500,2125,2022-05-02
LEFFINE-M PLUS SYP 170ML,1212,34663.2,982,70941.98,230,6578,24-Feb,78,2230.8,1134,32432.4,2022-01-07
LEFLORA-10 TAB 10S,423,2791.8,331,7074.57,92,607.2,23-Aug,203,1339.8,220,1452,2023-07-03
LEFLU-150 TAB 1S,8366,38316.28,6702,56983.86,1664,7621.12,23-Nov,1140,5221.2,7226,33095.08,2023-01-12
LEFOMYCS-10 TAB 10S,459,5737.5,454,5550,5,62.5,24-May,9,112.5,450,5625,2023-09-08
LEFOMYCS-20 TAB 10S,415,7262.5,410,8113,5,87.5,24-Jul,0,0,415,7262.5,2022-03-06
LEMONCEE TAB 10S,65,1300,65,95,0,0,0,65,1300,0,0,2023-06-11
LENAC SR TAB 10S,280,8999.2,280,10001.6,0,0,0,32,1028.48,248,7970.72,2022-08-02
LENANGIO-10MG 10S,6,4775.1,6,5426.79,0,0,0,0,0,6,4775.1,2023-10-11
LEPLEX CAPS 15S 15S,520,8866,353,8537.69,167,2847.35,24-Jun,90,1534.5,430,7331.5,2022-05-23
LEPO 1000 10S,40,1430,32,1521.5,8,286,23-Nov,0,0,40,1430,2022-11-06
"LEUKOFIX 1""INCH 1S",10,407.1,10,0,0,0,0,0,0,10,407.1,2022-03-25
LEUKOPLAST 10CM*10MTR 1S,20,2960,20,4700,0,0,0,0,0,20,2960,2023-07-15
LEUKOPLAST 2.5CM*10MTR 1S,66,2991.78,30,1740,36,1631.88,23-Nov,0,0,66,2991.78,2022-01-27
LEVETIRAX -500MG TAB 10S,191,7626.08,174,8789.2,17,736.61,23-May,41,1776.53,150,5849.55,2023-05-26
LEVIGRESS 500MG TAB 10S,93,8475.09,93,9932.61,0,0,0,0,0,93,8475.09,2022-08-10
LEVIGRESS-250MG TAB 10S,15,675,15,803.57,0,0,0,0,0,15,675,2023-12-18
LEVIPIL 250MG TAB 10S,22,1000.12,22,1250.07,0,0,0,0,0,22,1000.12,2023-08-01
LEVIPIL 750MG 10S,78,10764,78,14202.97,0,0,0,6,828,72,9936,2023-11-29
LEVIPIL SYP 100ML,4,1168.44,4,1460.54,0,0,0,0,0,4,1168.44,2022-11-30
LEVIPIL XR 500 10S,63,8864.73,63,9306.54,0,0,0,0,0,63,8864.73,2023-11-28
LEVIPIL XR-1G TAB 10S,1,281.43,1,281.43,0,0,0,0,0,1,281.43,2023-02-26
LEVIPIL-500MG TAB 15S,93,12825.63,93,12904.55,0,0,0,0,0,93,12825.63,2023-08-16
LEVITRA-500 TAB 10S,140,11491.2,121,12630.83,19,1559.52,24-Dec,0,0,140,11491.2,2022-06-11
LEVO-ANAWIN HEAVY 0.5% INJ 4ML,200,13770,38,2907,162,11153.7,24-Feb,0,0,200,13770,2022-12-16
LEVOCETRAL SYRUP 30ML,377,3920.46,292,4593.7,85,920.55,24-Aug,77,833.91,300,3086.55,2023-02-24
LEVOCETRAL TAB-5MG (AL) 10S,1300,5376.92,1285,8465.3,15,68.7,25-Oct,40,183.2,1260,5193.72,2022-09-02
LEVOCETRAL TAB-5MG (BL) 10S,30,99.9,30,119,0,0,0,30,99.9,0,0,2022-04-10
LEVOCETRAL-AM TAB 10S,740,5521.14,626,6161.72,114,945.06,24-Apr,0,0,740,5521.14,2022-05-23
LEVOFUXIN 5000MG IV 100ML,53,1192.5,11,258.93,42,945,24-Nov,0,0,53,1192.5,2022-09-02
LEVOLIFE IV 100ML,5,78.4,5,713.3,0,0,0,5,78.4,0,0,2023-08-03
LEVOLIN SYRUP 100ML,230,4376.9,230,5304.34,0,0,0,0,0,230,4376.9,2023-11-23
LEVOLIN-0.63MG RESPULES 2.5ML,70,296.1,70,338.57,0,0,0,0,0,70,296.1,2023-03-20
LEVOLIN-PLUS SYP 100ML,21,1270.92,21,1962.56,0,0,0,0,0,21,1270.92,2023-02-22
LEVOLINE-0.31MG RESP 1S,50,175.5,50,219.2,0,0,0,0,0,50,175.5,2022-10-03
LEVOLINE-P 2.5ML 5S,1619,57879.25,1615,79979.57,4,143,24-Dec,153,5469.75,1466,52409.5,2023-07-06
LEVOMONT FX TAB 10S,270,8437.5,123,4695.8,147,4593.75,23-Nov,50,1562.5,220,6875,2023-06-05
LEVOMONT LC SYP 60ML,735,16424.32,669,20152.48,66,1539.78,24-Jul,85,1983.05,650,14441.27,2023-01-03
LEVOMONT LC TAB 10S,1696,28643.07,1624,34401.5,72,1272.24,24-Mar,127,2244.09,1569,26398.98,2023-10-03
LEVOMONT-LC KID TAB 10S,295,3562.5,271,3765,24,300,24-Nov,35,437.5,260,3125,2022-04-05
LEVONA 500MG TAB 10S,147,3675,147,4593.75,0,0,0,147,3675,0,0,2022-10-14
LEVOS-AM SYP 100ML,701,14650.9,701,39250.8,0,0,0,331,6917.9,370,7733,2023-03-13
LEVOTAB-500 MG TAB 5S,351,5851.17,268,5673.5,83,1383.61,24-Apr,77,1283.59,274,4567.58,2023-03-04
LEVOTACK IV 100ML,668,12317.92,668,7343,0,0,0,168,3097.92,500,9220,2023-04-16
LEVOTRYL SYRUP 30ML,22,565.62,2,57.14,20,514.2,23-Nov,22,565.62,0,0,2023-06-02
LEVOYEST IV(WC) 100ML,2,33,2,164.98,0,0,0,2,33,0,0,2023-09-05
LEVOYUKT-5 TAB 10S,90,1148.4,90,1320,0,0,0,0,0,90,1148.4,2023-05-11
LEWORM PLUS TAB 1S,2184,8006.54,1906,11384.74,278,1019.15,24-Jun,534,1957.64,1650,6048.9,2023-01-13
LEXCAL-D3-K2 10S,50,1705,2,90,48,1636.8,23-Nov,0,0,50,1705,2022-12-12
LEXOF 200 TAB 10S,9,133.65,9,167.04,0,0,0,9,133.65,0,0,2023-10-31
LEXOF OZ TAB 10S,374,9667.9,346,19687.05,28,723.8,23-Jul,42,1085.7,332,8582.2,2022-10-12
LEXOF-O+ TAB 10S,110,3388,14,1079.9,96,2956.8,23-Nov,0,0,110,3388,2023-04-17
LEXTROID-4 10S,25,371.25,25,545.02,0,0,0,25,371.25,0,0,2022-01-14
LEXZIN-MK SYP 60ML,1344,28089.6,1041,70509.96,303,6332.7,23-Nov,141,2946.9,1203,25142.7,2022-12-09
LEZINE-DT TAB 10S,1998,4945.05,1009,7114.91,989,2447.78,23-Nov,238,589.05,1760,4356,2022-04-15
LIBRIUM-10MG TAB 15S,28,2133.88,28,2955.66,0,0,0,0,0,28,2133.88,2022-02-23
LIDOFIX 2% ADR 30ML,34,578,34,636.07,0,0,0,34,578,0,0,2022-08-04
LIGACLIP LT300(GREEN) 1S,1,237.5,1,0,0,0,0,0,0,1,237.5,2023-05-08
LIGNO-AD INJ 30ML,7,62.65,7,78.4,0,0,0,7,62.65,0,0,2022-07-25
LIGNOCAINE 2% INJ 30ML.,900,7200,708,7582.05,192,1536,24-Jul,0,0,900,7200,2022-11-30
LIGNOCAINE 2% INJ 30ML..,800,8400,537,7884.8,263,2761.5,24-Sep,0,0,800,8400,2023-08-27
LIGOCAIN 2% JELLY 30GMS,1012,14168,767,16458.91,245,3430,0,136,1904,876,12264,2022-07-27
LIGOCAINE INJ 30ML,856,6882.24,856,9992.69,0,0,0,108,868.32,748,6013.92,2023-03-02
LIGOCAINE-ADR INJ 30ML,220,2730.2,176,3846.95,44,546.04,23-Nov,20,248.2,200,2482,2023-07-06
LIGOCARE-A INJ 30ML,1697,14424.5,1578,15404.2,119,1011.5,24-Mar,9,76.5,1688,14348,2023-12-25
LILY GLASS SIPPER (BIG) 1S,2,128.82,2,154,0,0,0,0,0,2,128.82,2022-12-23
LIMCEE ACTIVE TAB 15S,1,71.19,1,71.19,0,0,0,0,0,1,71.19,2022-11-14
LINANAT-5 TAB 10S,993,86033.42,993,94204.95,0,0,0,0,0,993,86033.42,2023-08-24
LINANAT-M 2.5/1000MG 10S,12,-612.72,3,0,9,689.31,24-Jan,0,0,12,-612.72,2023-10-30
LINANAT-M 2.5/500MG 10S,39,1455.21,39,2744.7,0,0,0,0,0,39,1455.21,2022-08-30
LINAPRIDE-5MG TAB 10S,15,1607.1,15,2008.93,0,0,0,0,0,15,1607.1,2023-10-04
LINETIC I.V -600MG INJ 300ML,183,9552.6,124,16860.15,59,3079.8,24-Oct,3,156.6,180,9396,2022-02-17
LINETIC I.V 200MG INJ 100ML,-265,-10494,-265,220,0,0,0,4,158.4,-269,-10652.4,2023-01-01
LINEZO-600 TAB 4S,484,22181.72,421,24045.82,63,2887.29,24-Mar,34,1558.22,450,20623.5,2022-12-05
LINEZOLID IV INFUSION 300ML,15,825,15,1320,0,0,0,0,0,15,825,2023-08-17
LINEZOLID-600 TAB 10S,35,2100,35,2776,0,0,0,0,0,35,2100,2022-08-20
LINOLEX-600 TAB 6S,532,39501,393,57296.82,139,10320.75,24-Apr,92,6831,440,32670,2022-04-18
LINOSAF-600 TAB 10S,60,6264,60,7200,0,0,0,0,0,60,6264,2022-10-11
LINOSEPT 300 IV 1S,700,49000,602,98577.5,98,6860,24-Jan,60,4200,640,44800,2023-05-05
LINZOVA INFUSION 300ML,100,9100,77,10547.2,23,2093,24-Apr,25,2275,75,6825,2023-04-28
LINZOVA-600 TAB 10S,30,3810,15,2700,15,1905,24-Aug,0,0,30,3810,2023-08-08
LIOFEN 10MG 10S,15,1291.95,15,1421.17,0,0,0,6,516.78,9,775.17,2023-05-02
LION BELLODONA PLASTER 10S,344,23956.16,342,31129.83,2,139.28,0,209,14554.76,135,9401.4,2022-07-01
LIPIROSE-20MG TAB 10S,3,427.71,3,435,0,0,0,0,0,3,427.71,2022-10-01
LIPISAFE-10 10S,19,163.59,19,264.1,0,0,0,19,163.59,0,0,2022-01-04
LIPVAS-10MG TAB 10S,211,3006.75,114,2887.03,97,1382.25,23-Jun,39,555.75,172,2451,2023-12-11
LIPVAS-40MG TAB 10S,871,39195,738,39306.88,133,5985,24-Mar,61,2745,810,36450,2022-02-23
LIQUID PARAFFIN I.P 100ML,60,1320,60,1954.48,0,0,0,0,0,60,1320,2023-11-11
LIQUID PARAFFIN IP 100ML,180,3870,127,5173.42,53,1139.5,25-Apr,0,0,180,3870,2023-06-24
LIQUID PARAFFIN IP 400ML 400ML,13,1092,13,687.5,0,0,0,3,252,10,840,2023-06-06
LIQUID PARAFIN 400ML,22,1848,10,1008,12,1008,25-Aug,0,0,22,1848,2022-11-14
LISAFFIN PINK SYP 170ML,292,7227,244,11979.16,48,1188,23-Aug,52,1287,240,5940,2022-10-16
LISIGN-5 TAB 10S,190,1140,188,1128,2,12,23-Nov,0,0,190,1140,2022-09-09
LISTER BLADE 11 100S,4,792,4,1600,0,0,0,0,0,4,792,2022-01-14
LISTER BLADE 15 100S,4,792,4,1600,0,0,0,0,0,4,792,2022-06-07
LISTER BLADE 22 100S,4,792,4,1600,0,0,0,0,0,4,792,2022-05-29
LITCA-300 TAB 10S,30,347.4,0,0,30,347.4,24-Mar,30,347.4,0,0,2023-10-27
LITHIC SR 400MG TAB 10S,0,0,0,0,0,0,0,0,0,0,0,2023-07-09
LITHORIL TAB 10S,550,5769.5,550,6145.1,0,0,0,0,0,550,5769.5,2022-03-20
LITHORIL-SR TAB 10S,300,10608,200,7858,100,3536,25-Jan,0,0,300,10608,2022-07-18
LITHOSUN SR 400MG 10S,42,1724.94,42,2142.86,0,0,0,6,246.42,36,1478.52,2022-03-14
LITRACETAM-5ML INJ 5ML,50,890,50,1040.05,0,0,0,0,0,50,890,2022-07-18
LIV 52 SYP 200ML,7,721.84,7,881.24,0,0,0,0,0,7,721.84,2022-03-21
LIV 52 TAB 100S,1,103.12,1,133.92,0,0,0,0,0,1,103.12,2022-12-28
LIV-52 DS SYP 200ML,1,171.88,1,171.88,0,0,0,0,0,1,171.88,2023-11-30
LIV-L FORTE CAP 10S,130,4178.2,72,2250.36,58,1864.12,24-Sep,130,4178.2,0,0,2022-07-03
LIV-L SYP 200ML,412,30459.16,281,17000.25,131,9684.83,23-Nov,248,18334.64,164,12124.52,2023-02-18
LIVDOL-150 TAB 10S,1361,97311.5,1225,160694.5,136,9724,23-Nov,188,13442,1173,83869.5,2023-06-10
